@relation bookkeeper
@attribute LOC numeric
@attribute LOC_TOUCHED numeric
@attribute CHURN numeric
@attribute AVERAGE_LOC_ADDED numeric
@attribute MAX_LOC_ADDED numeric
@attribute AVERAGE_CHURN numeric
@attribute MAX_CHURN numeric
@attribute NR numeric
@attribute N_AUTH numeric
@attribute N_FIX numeric
@attribute Buggy {true,false}
@data
65,4,16,0,0,0,0,1,1,1,false
150,29,13,0,0,0,0,2,1,1,true
81,0,0,0,0,0,0,0,0,0,false
84,0,0,0,0,0,0,0,0,0,false
905,173,163,17,39,37,109,9,3,6,true
312,64,64,0,0,-21,6,5,3,3,true
171,2,6,0,0,0,0,1,1,1,false
153,-39,75,12,61,16,77,6,3,5,true
84,17,27,0,0,0,0,1,1,0,false
169,4,4,0,0,0,0,2,2,2,true
189,16,16,0,0,-7,0,3,2,3,true
127,30,28,2,7,10,33,5,2,4,true
79,1,1,0,0,0,0,1,1,1,true
90,17,23,0,0,0,0,1,1,1,false
85,0,0,0,0,0,0,0,0,0,false
113,10,8,1,1,1,1,2,2,2,true
276,60,60,0,0,-15,0,3,2,2,true
549,172,174,0,3,-88,1,6,2,4,true
27,27,27,0,0,0,0,1,1,0,false
88,88,88,0,0,-4,-4,2,1,0,true
283,30,32,1,1,-12,3,4,3,3,true
175,30,-18,24,24,23,23,2,2,2,true
507,41,-5,25,25,17,20,4,2,4,true
209,5,5,0,0,0,0,1,1,0,false
147,3,3,0,0,0,0,1,1,1,false
98,0,0,0,0,0,0,1,1,0,false
132,132,132,0,0,0,0,1,1,1,false
236,236,236,0,0,0,0,1,1,0,true
227,46,46,0,0,-36,-26,3,2,3,true
172,18,18,0,0,-4,-3,3,2,3,false
507,118,128,3,9,-10,0,9,2,7,true
90,90,90,0,0,0,0,1,1,0,true
58,58,58,0,0,0,0,1,1,0,false
132,0,0,0,0,0,0,0,0,0,false
529,6,-2,4,6,5,8,4,1,0,true
694,107,97,5,11,9,49,10,3,7,true
148,0,0,0,0,0,0,0,0,0,true
174,0,0,0,0,0,0,0,0,0,false
148,0,0,0,0,0,0,0,0,0,false
92,0,0,0,0,0,0,1,1,0,false
664,665,665,0,0,0,0,2,1,0,false
55,55,55,0,0,0,0,1,1,1,false
237,3,3,0,0,2,2,2,1,1,true
54,0,0,0,0,0,0,0,0,0,false
38,0,0,0,0,0,0,0,0,0,true
98,0,0,0,0,0,0,0,0,0,true
39,0,0,0,0,0,0,0,0,0,false
69,0,0,0,0,0,0,0,0,0,true
94,0,0,0,0,0,0,0,0,0,true
582,582,582,2,10,-42,0,9,3,7,true
319,319,319,1,1,2,2,3,2,2,false
321,321,321,0,0,-19,-19,2,1,2,true
183,97,93,2,3,60,90,8,3,6,false
175,175,175,0,0,-48,-48,2,2,2,false
249,249,249,0,0,0,2,5,3,3,true
71,0,0,0,0,0,0,0,0,0,false
734,123,171,3,7,-116,0,6,2,6,true
127,127,127,0,0,0,0,1,1,1,false
30,30,30,0,0,0,0,1,1,0,false
380,35,41,2,4,-32,-31,4,3,4,true
101,101,101,0,0,0,0,2,1,1,false
167,167,167,0,0,0,0,1,1,1,true
47,0,0,0,0,0,0,0,0,0,false
47,0,0,0,0,0,0,0,0,0,false
47,0,0,0,0,0,0,0,0,0,false
46,0,0,0,0,0,0,0,0,0,false
43,4,-4,0,0,0,0,1,1,1,false
134,0,0,0,0,0,0,1,1,1,false
77,77,77,0,0,0,0,1,1,1,false
261,0,0,0,0,0,0,1,1,1,true
113,0,0,0,0,0,0,1,1,1,false
258,0,0,0,0,0,0,0,0,0,false
49,184,-184,262,290,262,290,7,2,6,false
339,339,339,0,0,-1,0,3,2,2,true
243,1,1,0,0,0,0,2,1,2,false
358,53,67,23,23,23,23,2,2,2,true
259,48,40,1,1,3,3,3,2,2,false
1167,127,127,0,0,1,1,2,1,2,true
92,2,0,1,1,1,1,2,2,2,true
100,25,25,0,0,0,0,1,1,1,false
185,-3,5,4,4,4,4,2,2,2,false
118,0,0,0,0,0,0,0,0,0,false
67,12,12,0,0,0,0,1,1,1,false
166,166,166,0,0,0,0,2,1,2,false
74,74,74,0,0,0,0,1,1,1,false
154,0,0,0,0,0,0,1,1,1,false
152,38,38,1,1,1,1,2,1,2,false
120,0,0,0,0,0,0,0,0,0,false
64,1,1,0,0,0,0,1,1,0,true
136,136,136,0,0,-3,-3,2,1,2,true
72,0,0,0,0,0,0,0,0,0,false
42,0,0,0,0,0,0,0,0,0,false
48,0,0,0,0,0,0,0,0,0,false
63,0,0,0,0,0,0,0,0,0,true
318,81,81,1,1,-22,-21,3,2,1,true
136,3,3,0,0,0,0,1,1,1,true
141,4,4,0,0,0,0,1,1,1,true
190,13,13,0,0,0,0,1,1,1,true
46,0,0,0,0,0,0,0,0,0,false
165,37,37,0,0,0,0,1,1,0,false
162,13,13,0,0,0,0,1,1,0,false
58,0,0,0,0,0,0,0,0,0,false
148,-1,3,0,0,0,0,1,1,0,true
74,0,0,0,0,0,0,0,0,0,false
36,36,36,0,0,0,0,1,1,0,false
37,0,0,0,0,0,0,0,0,0,false
38,0,0,0,0,0,0,0,0,0,false
39,0,0,0,0,0,0,0,0,0,false
96,0,0,0,0,0,0,0,0,0,true
88,0,0,0,0,0,0,0,0,0,false
71,0,0,0,0,0,0,0,0,0,false
114,4,0,0,0,0,0,1,1,1,false
342,6,6,0,0,0,0,1,1,1,true
84,0,0,0,0,0,0,0,0,0,false
58,0,0,0,0,0,0,0,0,0,false
