Project,#TrainingRelease,Classifier,FeatureSelection,Sampling,CostSensitive,Precision,Recall,Kappa,AUC
bookkeeper,4,RANDOM_FOREST,BEST_FIRST,SMOTE,NONE,0.739362,0.863354,0.038414,0.688270
bookkeeper,4,NAIVE_BAYES,BEST_FIRST,SMOTE,NONE,0.731818,1.000000,0.000000,0.751632
bookkeeper,4,IBK,BEST_FIRST,SMOTE,NONE,0.786787,0.813665,0.218419,0.727274
bookkeeper,4,RANDOM_FOREST,BEST_FIRST,SMOTE,COST_SENSITIVE_THRESHOLD,0.768421,0.906832,0.190773,0.695823
bookkeeper,4,NAIVE_BAYES,BEST_FIRST,SMOTE,COST_SENSITIVE_THRESHOLD,0.731818,1.000000,0.000000,0.751632
bookkeeper,4,IBK,BEST_FIRST,SMOTE,COST_SENSITIVE_THRESHOLD,0.787966,0.854037,0.244651,0.727274
bookkeeper,5,RANDOM_FOREST,NONE,NONE,NONE,0.842391,0.959752,0.550569,0.906353
bookkeeper,5,NAIVE_BAYES,NONE,NONE,NONE,0.724215,1.000000,0.000000,0.844471
bookkeeper,5,IBK,NONE,NONE,NONE,0.841667,0.938080,0.523412,0.859171
bookkeeper,5,RANDOM_FOREST,NONE,NONE,COST_SENSITIVE_THRESHOLD,0.729120,1.000000,0.034945,0.918976
bookkeeper,5,NAIVE_BAYES,NONE,NONE,COST_SENSITIVE_THRESHOLD,0.724215,1.000000,0.000000,0.844471
bookkeeper,5,IBK,NONE,NONE,COST_SENSITIVE_THRESHOLD,0.828571,0.987616,0.534433,0.859309
bookkeeper,5,RANDOM_FOREST,NONE,OVER_SAMPLING,NONE,0.862620,0.835913,0.474379,0.848209
bookkeeper,5,NAIVE_BAYES,NONE,OVER_SAMPLING,NONE,0.723596,0.996904,-0.004468,0.760288
bookkeeper,5,IBK,NONE,OVER_SAMPLING,NONE,0.844444,0.823529,0.416763,0.825153
bookkeeper,5,RANDOM_FOREST,NONE,OVER_SAMPLING,COST_SENSITIVE_THRESHOLD,0.793893,0.965944,0.373155,0.888822
bookkeeper,5,NAIVE_BAYES,NONE,OVER_SAMPLING,COST_SENSITIVE_THRESHOLD,0.724215,1.000000,0.000000,0.760288
