Project,#TrainingRelease,Classifier,FeatureSelection,Sampling,CostSensitive,Precision,Recall,Kappa,AUC
avro,4,NAIVE_BAYES,BEST_FIRST,SMOTE,COST_SENSITIVE_THRESHOLD,0.000000,0.000000,0.000000,0.601418
avro,4,IBK,BEST_FIRST,SMOTE,COST_SENSITIVE_THRESHOLD,0.941176,0.567376,0.087719,0.557920
avro,5,RANDOM_FOREST,NONE,NONE,NONE,0.963504,0.868421,0.015944,0.761513
avro,5,NAIVE_BAYES,NONE,NONE,NONE,0.962025,1.000000,0.000000,0.867873
avro,5,IBK,NONE,NONE,NONE,0.963768,0.875000,0.019648,0.549342
avro,5,RANDOM_FOREST,NONE,NONE,COST_SENSITIVE_THRESHOLD,0.962025,1.000000,0.000000,0.795504
avro,5,NAIVE_BAYES,NONE,NONE,COST_SENSITIVE_THRESHOLD,0.962025,1.000000,0.000000,0.867873
avro,5,IBK,NONE,NONE,COST_SENSITIVE_THRESHOLD,0.964286,0.888158,0.027964,0.549342
avro,5,RANDOM_FOREST,NONE,OVER_SAMPLING,NONE,0.976563,0.822368,0.110360,0.734649
avro,5,NAIVE_BAYES,NONE,OVER_SAMPLING,NONE,0.962025,1.000000,0.000000,0.867873
avro,5,IBK,NONE,OVER_SAMPLING,NONE,0.960000,0.789474,-0.013874,0.528509
avro,5,RANDOM_FOREST,NONE,OVER_SAMPLING,COST_SENSITIVE_THRESHOLD,0.965517,0.921053,0.056219,0.725877
avro,5,NAIVE_BAYES,NONE,OVER_SAMPLING,COST_SENSITIVE_THRESHOLD,0.962025,1.000000,0.000000,0.867873
avro,5,IBK,NONE,OVER_SAMPLING,COST_SENSITIVE_THRESHOLD,0.961538,0.822368,-0.003971,0.528509
avro,5,RANDOM_FOREST,NONE,SMOTE,NONE,0.976923,0.835526,0.121525,0.728070
avro,5,NAIVE_BAYES,NONE,SMOTE,NONE,0.973856,0.980263,0.340882,0.871162
avro,5,IBK,NONE,SMOTE,NONE,0.967742,0.789474,0.037889,0.623904
avro,5,RANDOM_FOREST,NONE,SMOTE,COST_SENSITIVE_THRESHOLD,0.971429,0.894737,0.116331,0.709978
avro,5,NAIVE_BAYES,NONE,SMOTE,COST_SENSITIVE_THRESHOLD,0.962025,1.000000,0.000000,0.871162
avro,5,IBK,NONE,SMOTE,COST_SENSITIVE_THRESHOLD,0.968992,0.822368,0.054805,0.623904
avro,5,RANDOM_FOREST,BEST_FIRST,NONE,NONE,0.985075,0.868421,0.219227,0.845943
avro,5,NAIVE_BAYES,BEST_FIRST,NONE,NONE,0.000000,0.000000,0.000000,0.838816
avro,5,IBK,BEST_FIRST,NONE,NONE,0.991525,0.769737,0.162051,0.805373
avro,5,RANDOM_FOREST,BEST_FIRST,NONE,COST_SENSITIVE_THRESHOLD,0.977941,0.875000,0.164423,0.840461
avro,5,NAIVE_BAYES,BEST_FIRST,NONE,COST_SENSITIVE_THRESHOLD,0.962025,1.000000,0.000000,0.838816
avro,5,IBK,BEST_FIRST,NONE,COST_SENSITIVE_THRESHOLD,0.991667,0.782895,0.173030,0.805373
avro,5,RANDOM_FOREST,BEST_FIRST,OVER_SAMPLING,NONE,0.977941,0.875000,0.164423,0.838816
avro,5,NAIVE_BAYES,BEST_FIRST,OVER_SAMPLING,NONE,1.000000,0.644737,0.121137,0.836623
avro,5,IBK,BEST_FIRST,OVER_SAMPLING,NONE,0.983607,0.789474,0.134107,0.735746
avro,5,RANDOM_FOREST,BEST_FIRST,OVER_SAMPLING,COST_SENSITIVE_THRESHOLD,0.978261,0.888158,0.183040,0.840461
avro,5,NAIVE_BAYES,BEST_FIRST,OVER_SAMPLING,COST_SENSITIVE_THRESHOLD,0.962025,1.000000,0.000000,0.836623
avro,5,IBK,BEST_FIRST,OVER_SAMPLING,COST_SENSITIVE_THRESHOLD,0.983871,0.802632,0.144790,0.735746
avro,5,RANDOM_FOREST,BEST_FIRST,SMOTE,NONE,0.977778,0.868421,0.156061,0.843202
avro,5,NAIVE_BAYES,BEST_FIRST,SMOTE,NONE,0.000000,0.000000,0.000000,0.836623
avro,5,IBK,BEST_FIRST,SMOTE,NONE,0.983333,0.776316,0.124384,0.733004
avro,5,RANDOM_FOREST,BEST_FIRST,SMOTE,COST_SENSITIVE_THRESHOLD,0.992424,0.861842,0.267285,0.791118
avro,5,NAIVE_BAYES,BEST_FIRST,SMOTE,COST_SENSITIVE_THRESHOLD,0.962025,1.000000,0.000000,0.836623
avro,5,IBK,BEST_FIRST,SMOTE,COST_SENSITIVE_THRESHOLD,0.983740,0.796053,0.139320,0.733004
avro,6,RANDOM_FOREST,NONE,NONE,NONE,0.949045,1.000000,0.190781,0.548844
avro,6,NAIVE_BAYES,NONE,NONE,NONE,0.943038,1.000000,0.000000,0.902685
avro,6,IBK,NONE,NONE,NONE,0.947712,0.973154,0.106503,0.760999
avro,6,RANDOM_FOREST,NONE,NONE,COST_SENSITIVE_THRESHOLD,0.943038,1.000000,0.000000,0.630872
avro,6,NAIVE_BAYES,NONE,NONE,COST_SENSITIVE_THRESHOLD,0.943038,1.000000,0.000000,0.902685
avro,6,IBK,NONE,NONE,COST_SENSITIVE_THRESHOLD,0.948718,0.993289,0.164512,0.760999
avro,6,RANDOM_FOREST,NONE,OVER_SAMPLING,NONE,0.946667,0.953020,0.067663,0.546980
avro,6,NAIVE_BAYES,NONE,OVER_SAMPLING,NONE,0.943038,1.000000,0.000000,0.903803
avro,6,IBK,NONE,OVER_SAMPLING,NONE,0.946309,0.946309,0.057420,0.695004
avro,6,RANDOM_FOREST,NONE,OVER_SAMPLING,COST_SENSITIVE_THRESHOLD,0.949045,1.000000,0.190781,0.568606
avro,6,NAIVE_BAYES,NONE,OVER_SAMPLING,COST_SENSITIVE_THRESHOLD,0.943038,1.000000,0.000000,0.903803
avro,6,IBK,NONE,OVER_SAMPLING,COST_SENSITIVE_THRESHOLD,0.948718,0.993289,0.164512,0.695004
avro,6,RANDOM_FOREST,NONE,SMOTE,NONE,0.953020,0.953020,0.175242,0.549963
avro,6,NAIVE_BAYES,NONE,SMOTE,NONE,0.955128,1.000000,0.350176,0.902685
avro,6,IBK,NONE,SMOTE,NONE,0.946309,0.946309,0.057420,0.694258
avro,6,RANDOM_FOREST,NONE,SMOTE,COST_SENSITIVE_THRESHOLD,0.948052,0.979866,0.123108,0.572334
avro,6,NAIVE_BAYES,NONE,SMOTE,COST_SENSITIVE_THRESHOLD,0.943038,1.000000,0.000000,0.902685
avro,6,IBK,NONE,SMOTE,COST_SENSITIVE_THRESHOLD,0.947712,0.973154,0.106503,0.694258
avro,6,RANDOM_FOREST,BEST_FIRST,NONE,NONE,0.946667,0.953020,0.067663,0.540641
avro,6,NAIVE_BAYES,BEST_FIRST,NONE,NONE,0.954545,0.986577,0.282543,0.902685
avro,6,IBK,BEST_FIRST,NONE,NONE,0.946667,0.953020,0.067663,0.673005
avro,6,RANDOM_FOREST,BEST_FIRST,NONE,COST_SENSITIVE_THRESHOLD,0.948052,0.979866,0.123108,0.504847
avro,6,NAIVE_BAYES,BEST_FIRST,NONE,COST_SENSITIVE_THRESHOLD,0.943038,1.000000,0.000000,0.902685
